date,app_type,classification,score_borda,relative_score
2017-01-08,Free,Licensing Exam,9728,0.04033167495854063
2017-01-08,Free,Non-Education,40006,0.16586235489220563
2017-01-08,Free,Parents,2716,0.011260364842454395
2017-01-08,Free,Preschool,11888,0.049286898839137644
2017-01-08,Free,Professional & Career,2511,0.01041044776119403
2017-01-08,Free,Subject Learning,67976,0.28182421227197346
2017-01-08,Free,Teaching and Learning,12534,0.05196517412935323
2017-01-08,Free,Unknown,81596,0.33829187396351573
2017-01-08,Paid,Education Management,988,0.004183196927805981
2017-01-08,Paid,Entertainment,13313,0.0563673084006893
2017-01-08,Paid,Hobby,9438,0.03996053907351503
2017-01-08,Paid,Licensing Exams,17814,0.07542456485013739
2017-01-08,Paid,Parents,334,0.0014141576658777304
2017-01-08,Paid,Preschool,17444,0.07385798300470398
2017-01-08,Paid,Professional,906,0.003836008518818035
2017-01-08,Paid,Subject Learning,33786,0.143050092513009
2017-01-08,Paid,Teaching and Learning,348,0.0014734337357049407
2017-01-08,Paid,Translating,1033,0.004373727152250585
2017-01-08,Paid,Unknown,140199,0.5936032652646465
2017-01-08,Paid,Well-being,580,0.0024557228928415676
2017-01-09,Free,Cognitive Development,7919,0.03283167495854063
2017-01-09,Free,Education Management,3298,0.013673300165837479
2017-01-09,Free,Licensing Exam,9459,0.03921641791044776
2017-01-09,Free,Non-Education,39197,0.1625082918739635
2017-01-09,Free,Parents,2528,0.010480928689883914
2017-01-09,Free,Preschool,11901,0.0493407960199005
2017-01-09,Free,Professional & Career,2078,0.00861525704809287
2017-01-09,Free,Subject Learning,67884,0.28144278606965173
2017-01-09,Free,Teaching and Learning,12245,0.05076699834162521
2017-01-09,Free,Unknown,84691,0.3511235489220564
2017-01-09,Paid,Education Management,1009,0.004272925153935411
2017-01-09,Paid,Entertainment,13597,0.05758073668786896
2017-01-09,Paid,Hobby,9475,0.040124842253258686
2017-01-09,Paid,Licensing Exams,17520,0.07419390356486462
2017-01-09,Paid,Parents,517,0.0021893977250590758
2017-01-09,Paid,Preschool,16697,0.0707086534145288
2017-01-09,Paid,Professional,809,0.003425962784473486
2017-01-09,Paid,Subject Learning,33355,0.1412521491670125
2017-01-09,Paid,Teaching and Learning,302,0.0012789131778875064
2017-01-09,Paid,Translating,1268,0.005369741422388603
2017-01-09,Paid,Unknown,140710,0.5958803750349372
2017-01-09,Paid,Well-being,879,0.0037223996137851594
2017-01-10,Free,Cognitive Development,8493,0.03521144278606965
2017-01-10,Free,Education Management,3199,0.01326285240464345
2017-01-10,Free,Licensing Exam,9482,0.039311774461028196
2017-01-10,Free,Non-Education,40149,0.16645522388059703
2017-01-10,Free,Parents,2511,0.01041044776119403
2017-01-10,Free,Preschool,12270,0.050870646766169154
2017-01-10,Free,Professional & Career,2117,0.008776948590381426
2017-01-10,Free,Subject Learning,68356,0.28339966832504143
2017-01-10,Free,Teaching and Learning,12544,0.05200663349917081
2017-01-10,Free,Unknown,82079,0.3402943615257048
2017-01-10,Paid,Education Management,1040,0.004388370817334065
2017-01-10,Paid,Entertainment,13660,0.057639562850753195
2017-01-10,Paid,Hobby,9636,0.04065994345752985
2017-01-10,Paid,Licensing Exams,16232,0.06849234144900629
2017-01-10,Paid,Parents,335,0.001413561753660492
2017-01-10,Paid,Preschool,17215,0.07264019578885185
2017-01-10,Paid,Professional,913,0.003852483227140386
2017-01-10,Paid,Subject Learning,35069,0.14797670787796954
2017-01-10,Paid,Teaching and Learning,275,0.0011603865141989113
2017-01-10,Paid,Translating,991,0.004181611038440441
2017-01-10,Paid,Unknown,140860,0.5943710705093042
2017-01-10,Paid,Well-being,764,0.0032237647158107935
2017-01-11,Free,Cognitive Development,8583,0.03558457711442786
2017-01-11,Free,Education Management,3410,0.014137645107794361
2017-01-11,Free,Licensing Exam,9748,0.04041459369817579
2017-01-11,Free,Non-Education,38841,0.1610323383084577
2017-01-11,Free,Parents,2469,0.0102363184079602
2017-01-11,Free,Preschool,11914,0.04939469320066335
2017-01-11,Free,Professional & Career,2004,0.008308457711442787
2017-01-11,Free,Subject Learning,69043,0.28624792703150914
2017-01-11,Free,Teaching and Learning,12773,0.052956053067993364
2017-01-11,Free,Unknown,82415,0.34168739635157547
2017-01-11,Paid,Education Management,1083,0.004573460416129999
2017-01-11,Paid,Entertainment,13462,0.056849422088589154
2017-01-11,Paid,Hobby,9745,0.0411526978348909
2017-01-11,Paid,Licensing Exams,16876,0.0712665909350045
2017-01-11,Paid,Parents,392,0.0016553984147026407
2017-01-11,Paid,Preschool,17372,0.07336117668422008
2017-01-11,Paid,Professional,927,0.003914679414360581
2017-01-11,Paid,Subject Learning,35000,0.14780342988416434
2017-01-11,Paid,Teaching and Learning,290,0.0012246569904687903
2017-01-11,Paid,Translating,1065,0.004497447223618144
2017-01-11,Paid,Unknown,139966,0.5910701390619127
2017-01-11,Paid,Well-being,623,0.0026309010519381254
2017-01-12,Free,Cognitive Development,8258,0.03423714759535655
2017-01-12,Free,Education Management,3519,0.01458955223880597
2017-01-12,Free,Licensing Exam,9814,0.040688225538971806
2017-01-12,Free,Non-Education,38261,0.15862769485903813
2017-01-12,Free,Parents,2183,0.009050580431177447
2017-01-12,Free,Preschool,11550,0.04788557213930348
2017-01-12,Free,Professional & Career,1993,0.00826285240464345
2017-01-12,Free,Subject Learning,69710,0.2890132669983416
2017-01-12,Free,Teaching and Learning,12668,0.05252072968490879
