year,country,rank_bin,app_type,unknown_ratio
2017,it,"[20, 30)",Paid,57.27272727272727
2017,it,"[30, 40)",Free,34.43526170798898
2017,it,"[30, 40)",Paid,55.06887052341598
2017,it,"[40, 50)",Free,36.69421487603306
2017,it,"[40, 50)",Paid,56.14325068870524
2017,it,"[50, 60)",Free,30.991735537190085
2017,it,"[50, 60)",Paid,54.64315238357674
2017,it,"[60, 70)",Free,31.074380165289256
2017,it,"[60, 70)",Paid,54.83425414364641
2017,it,"[70, 80)",Free,30.909090909090907
2017,it,"[70, 80)",Paid,55.80110497237569
2017,it,"[80, 90)",Free,31.65289256198347
2017,it,"[80, 90)",Paid,56.16022099447514
2017,it,"[90, 100)",Free,33.691460055096414
2017,it,"[90, 100)",Paid,57.51381215469613
2017,it,"[100, 110)",Free,34.60370063518365
2017,it,"[100, 110)",Paid,59.57801221543587
2017,it,"[110, 120)",Free,32.37569060773481
2017,it,"[110, 120)",Paid,57.138888888888886
2017,it,"[120, 130)",Free,35.414364640883974
2017,it,"[120, 130)",Paid,56.222222222222214
2017,it,"[130, 140)",Free,36.46408839779006
2017,it,"[130, 140)",Paid,57.55555555555556
2017,it,"[140, 150)",Free,36.049723756906076
2017,it,"[140, 150)",Paid,56.63888888888889
2017,it,"[150, 160)",Free,36.71270718232044
2017,it,"[150, 160)",Paid,57.730812013348164
2017,it,"[160, 170)",Free,37.182320441988956
2017,it,"[160, 170)",Paid,58.04469273743017
2017,it,"[170, 180)",Free,35.248618784530386
2017,it,"[170, 180)",Paid,59.4259988745076
2017,it,"[180, 190)",Free,35.552486187845304
2017,it,"[180, 190)",Paid,58.241134751773046
2017,it,"[190, 200)",Free,37.32044198895028
2017,it,"[190, 200)",Paid,57.97018348623853
2017,jp,"[0, 10)",Free,6.1865189289012
2017,jp,"[0, 10)",Paid,52.81625115420129
2017,jp,"[10, 20)",Free,15.401662049861494
2017,jp,"[10, 20)",Paid,47.174515235457065
2017,jp,"[20, 30)",Free,30.11080332409972
2017,jp,"[20, 30)",Paid,49.88919667590028
2017,jp,"[30, 40)",Free,33.51800554016621
2017,jp,"[30, 40)",Paid,53.8781163434903
2017,jp,"[40, 50)",Free,31.05263157894737
2017,jp,"[40, 50)",Paid,50.30470914127424
2017,jp,"[50, 60)",Free,30.41551246537396
2017,jp,"[50, 60)",Paid,50.22160664819945
2017,jp,"[60, 70)",Free,27.645429362880886
2017,jp,"[60, 70)",Paid,52.714681440443215
2017,jp,"[70, 80)",Free,28.310249307479225
2017,jp,"[70, 80)",Paid,53.2409972299169
2017,jp,"[80, 90)",Free,32.57617728531856
2017,jp,"[80, 90)",Paid,53.46260387811634
2017,jp,"[90, 100)",Free,29.50138504155125
2017,jp,"[90, 100)",Paid,52.742382271468145
2017,jp,"[100, 110)",Free,28.51147174034695
2017,jp,"[100, 110)",Paid,52.26636821488528
2017,jp,"[110, 120)",Free,27.899159663865547
2017,jp,"[110, 120)",Paid,50.476190476190474
2017,jp,"[120, 130)",Free,28.599439775910362
2017,jp,"[120, 130)",Paid,52.18487394957984
2017,jp,"[130, 140)",Free,32.04481792717087
2017,jp,"[130, 140)",Paid,51.26050420168067
2017,jp,"[140, 150)",Free,34.00560224089636
2017,jp,"[140, 150)",Paid,50.252100840336134
2017,jp,"[150, 160)",Free,33.0532212885154
2017,jp,"[150, 160)",Paid,48.99159663865546
2017,jp,"[160, 170)",Free,35.46218487394958
2017,jp,"[160, 170)",Paid,50.44817927170868
